Date,ASIANPAINT,HDFCBANK,ITC,RELIANCE,TCS
2015-01-01,709.61376953125,451.4752197265625,192.35743713378906,417.9889221191406,1075.8509521484375
2015-01-02,734.1468505859375,457.7585754394531,192.95993041992188,416.882568359375,1090.1783447265625
2015-01-05,734.0994873046875,453.893798828125,193.7196044921875,412.31622314453125,1073.6109619140625
2015-01-06,716.5758056640625,446.82794189453125,188.7423858642578,393.60345458984375,1034.0306396484375
2015-01-07,730.9736938476562,448.132080078125,185.23211669921875,402.1712951660156,1021.8164672851562
2015-01-08,777.0562133789062,457.54522705078125,189.86880493164062,396.4044494628906,1032.846923828125
2015-01-09,769.6205444335938,462.6667175292969,186.9872283935547,404.99591064453125,1061.7977294921875
2015-01-12,765.1212768554688,458.5884704589844,187.4849395751953,400.288330078125,1060.6988525390625
2015-01-13,789.84375,456.8338928222656,188.6637725830078,396.92236328125,1055.7122802734375
2015-01-14,798.1792602539062,457.0947265625,182.21957397460938,393.0621032714844,1065.8763427734375
2015-01-15,795.053466796875,470.9654541015625,187.5111541748047,406.8553771972656,1073.1248779296875
2015-01-16,798.9371948242188,474.8540344238281,188.6637725830078,409.4210205078125,1070.1873779296875
2015-01-19,787.99658203125,476.3714599609375,187.98269653320312,414.1051330566406,1061.248291015625
2015-01-20,794.9114990234375,484.14862060546875,194.4269256591797,425.1209716796875,1056.7894287109375
2015-01-21,806.3729248046875,483.67437744140625,184.78677368164062,426.8627624511719,1062.4320068359375
2015-01-22,821.3864135742188,484.29083251953125,183.71273803710938,416.0352783203125,1062.3265380859375
2015-01-23,816.6029052734375,494.51019287109375,183.08399963378906,417.5181579589844,1058.12109375
2015-01-27,843.5038452148438,509.3294677734375,188.68997192382812,418.5303039550781,1059.582275390625
2015-01-28,862.2118530273438,501.88427734375,189.81642150878906,426.9097900390625,1075.48388671875
2015-01-29,834.7896118164062,519.2640991210938,193.9553680419922,437.5254211425781,1077.622314453125
2015-01-30,812.482421875,510.8941955566406,193.09091186523438,430.8642272949219,1051.1121826171875
2015-02-02,765.45263671875,512.9097290039062,188.95191955566406,427.4747619628906,1064.7275390625
2015-02-03,771.7044677734375,504.6109619140625,191.78111267089844,441.3857727050781,1083.3824462890625
2015-02-04,761.427001953125,506.3180847167969,192.5931854248047,437.24298095703125,1064.7698974609375
2015-02-05,768.0576782226562,510.49114990234375,193.27426147460938,434.8421630859375,1080.9046630859375
2015-02-06,755.5541381835938,499.5843200683594,195.684326171875,428.34564208984375,1090.79296875
2015-02-09,761.2376098632812,493.22979736328125,192.7503662109375,422.1316223144531,1064.1766357421875
2015-02-10,778.80859375,500.0347595214844,193.79818725585938,415.21142578125,1033.79150390625
2015-02-11,796.3796997070312,501.9079284667969,194.45309448242188,424.0146179199219,1041.732177734375
2015-02-12,780.2767944335938,510.25408935546875,194.06016540527344,427.9925842285156,1042.684814453125
2015-02-13,783.118408203125,505.4171447753906,198.06814575195312,431.9234313964844,1075.1240234375
2015-02-16,790.1278686523438,506.24700927734375,204.1194305419922,425.00323486328125,1094.6258544921875
2015-02-18,777.71923828125,509.6850891113281,206.03172302246094,424.4619140625,1116.159912109375
2015-02-19,790.0806884765625,512.0560913085938,203.9360809326172,424.65020751953125,1135.3858642578125
2015-02-20,782.1239013671875,508.855224609375,207.4987335205078,411.0216369628906,1133.05712890625
2015-02-23,766.8734741210938,506.2232971191406,204.4600067138672,400.82965087890625,1141.9920654296875
2015-02-24,757.35400390625,506.2944641113281,207.3153533935547,396.12200927734375,1145.422607421875
2015-02-25,770.8990478515625,499.0863342285156,209.41104125976562,396.92236328125,1131.63818359375
2015-02-26,750.107666015625,492.3051452636719,207.28915405273438,396.3809814453125,1124.9683837890625
2015-02-27,764.5528564453125,499.82135009765625,206.2675018310547,402.759765625,1127.467041015625
2015-03-02,782.0291748046875,513.3602294921875,179.83572387695312,406.8553771972656,1130.4522705078125
2015-03-03,794.0588989257812,513.7395629882812,178.94508361816406,424.0617370605469,1175.595947265625
2015-03-04,792.6380004882812,505.1800537109375,180.35963439941406,417.96539306640625,1162.89111328125
2015-03-05,789.8910522460938,514.5693969726562,181.407470703125,416.60015869140625,1141.9073486328125
2015-03-09,769.7625732421875,502.1924133300781,177.26852416992188,409.3975524902344,1120.8819580078125
2015-03-10,765.3106689453125,499.13385009765625,177.37327575683594,404.4545593261719,1119.145263671875
2015-03-11,766.30517578125,500.983154296875,177.18991088867188,402.9480285644531,1103.83642578125
2015-03-12,765.45263671875,500.1058349609375,181.6170654296875,406.6435241699219,1109.1297607421875
2015-03-13,765.7366943359375,494.4390869140625,177.81861877441406,400.1941223144531,1093.5877685546875
2015-03-16,787.9490966796875,498.65960693359375,175.72296142578125,396.4280700683594,1085.0970458984375
2015-03-17,787.5231323242188,501.741943359375,178.13299560546875,403.3717956542969,1094.1595458984375
2015-03-18,771.2307739257812,504.3501281738281,176.37782287597656,408.92669677734375,1083.84765625
2015-03-19,790.7435302734375,498.9677734375,174.64891052246094,403.042236328125,1099.474365234375
2015-03-20,767.2050170898438,500.722412109375,171.5577850341797,402.0771484375,1105.6995849609375
2015-03-23,768.76806640625,496.8575134277344,171.5315704345703,396.3574523925781,1108.3251953125
2015-03-24,770.3783569335938,492.210205078125,171.0862579345703,399.18194580078125,1097.3779296875
2015-03-25,765.8314819335938,490.4556579589844,171.19102478027344,397.7461853027344,1089.945556640625
2015-03-26,751.2444458007812,477.5096435546875,168.9119873046875,390.4023132324219,1064.26171875
2015-03-27,737.0833740234375,481.16107177734375,166.34478759765625,382.1169128417969,1064.9818115234375
